 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
,Fannie Mae Field Services Monthly Scorecard,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
,Initial Services,Initial Services Completed,586,692,556,554,498,214,,179,28.55555556,677,,,
,,Average Days to Complete Initial Service,13.43486842,13.05630027,13.59013283,13.52583979,11.16272601,9.273187184,9.273187184,9.273187184,-1.587805117,10.8609923,,12,20
,,Average Days to BSO Pass,12.82853224,12.61940299,13.55203046,14.05830165,13.0820996,10.54613095,,10.54613095,-1.85103504,12.39716599,,,
,,% Completed >10 Days,0.417763158,0.438605898,0.460468058,0.474806202,0.359527121,0.3153457,0.3153457,0.3153457,-0.052917773,0.368263473,,,
,,Initial Interior Maintenance % Overdue,0.612716763,0.62403698,0.602189781,0.615808824,0.48549323,0.412621359,,0.412621359,-0.072955564,0.485576923,,,
,,Initial Exterior Maintenance % Overdue,0.419491525,0.403780069,0.4625,0.44989339,0.366504854,0.268156425,,0.268156425,-0.08782585,0.355982275,,,
,,Initial Trash Removal % Overdue,0.612476371,0.624605678,0.605786618,0.611214953,0.487229862,0.346153846,,0.346153846,-0.115848566,0.462002413,,,
,,Initial Interior Maintenance % Overdue,0.488687783,0.404878049,0.385365854,0.443181818,0.319277108,0.2375,0.2375,,,,,,
,,Initial Exterior Maintenance % Overdue,0.369863014,0.425925926,0.325757576,0.368421053,0.28030303,0.25862069,0.25862069,,,,,,
,,Initial Trash Removal % Overdue,0.406060606,0.352201258,0.343558282,0.373333333,0.246835443,0.18115942,0.18115942,,,,,,
,Initial QC,Initial Services QC Completed,291,470,563,622,558,142,,142,-32.88888889,787,,,
,,Initial Safety Rating,0.804123711,0.821276596,0.760213144,0.770096463,0.765232975,0.746478873,,0.746478873,-0.024804481,0.771283355,,,
,,Initial Interior Rating,0.945017182,0.914893617,0.896980462,0.884244373,0.905017921,0.915492958,,0.915492958,0.008250264,0.907242694,,,
,,Initial Exterior Rating,0.810996564,0.736170213,0.658969805,0.718649518,0.727598566,0.753521127,,0.753521127,0.027981101,0.725540025,,,
,,Overall Initial Services QC Score,0.900343643,0.878723404,0.78330373,0.829581994,0.815412186,0.887323944,0.887323944,0.887323944,0.053778836,0.833545108,,20,20
,BSO,Initial BSO Volume,563,771,598,619,591,170,,170,-18.66666667,849,,,
,,Initial BSO % Passing,0.856512141,0.864516129,0.844155844,0.87804878,0.891393443,0.878378378,,0.878378378,-0.011140035,0.889518414,,20,20
,,Overall BSO % Passing,0.859430605,0.849546044,0.822742475,0.860615883,0.874788494,0.870588235,,0.870588235,-0.001025428,0.871613663,,10,10
,,Number of Reorders,110,151,136,127,103,22,,22,-9.777777778,143,,,
,,Average Days to Complete Reorder,12.48648649,10.64925373,14.89915966,15.83898305,17.80672269,25,25,,-,12.85046729,,0,10
,,Number of Failed BSO,65,84,72,60,53,18,,18,0.666666667,78,,,
,,% BSO Failed Interior,0.063943162,0.076523995,0.070234114,0.066235864,0.049069374,0.058823529,,0.058823529,0.015242846,0.043580683,,,
,,% BSO Failed Exterior,0.065719361,0.089494163,0.081939799,0.075928918,0.074450085,0.064705882,,0.064705882,0.00816878,0.056537102,,,
,,% BSO Failed Trash Removal,0.063943162,0.067444877,0.076923077,0.066235864,0.0642978,0.052941176,,0.052941176,0.002293356,0.050647821,,,
,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,,,,,,
,,Average Days to Complete Ongoing Interior,,,,,,,,,,,,,
,,Average Days to Complete Ongoing Exterior,,,,,,,,,,,,,
,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
,Ongoing QC,Ongoing Services QC Completed,475,722,789,1159,1645,405,,405,-148.5555556,2491,,,
,,Ongoing Services Safety Rating,0.846315789,0.842105263,0.83269962,0.798964625,0.794528875,0.869135802,,0.869135802,0.061428055,0.807707748,,,
,,Ongoing Services Interior Rating,0.936842105,0.893351801,0.892268695,0.875754961,0.859574468,0.881481481,,0.881481481,0.015564179,0.865917302,,,
,,Ongoing Services Exterior Rating,0.749473684,0.703601108,0.632446134,0.662640207,0.6443769,0.72345679,,0.72345679,0.057459199,0.665997591,,,
,,Overall Ongoing Services QC Score,0.877894737,0.86565097,0.821292776,0.823986195,0.801823708,0.856790123,0.856790123,0.856790123,0.040250581,0.816539542,,20,20
,Seasonal,Wint Count,99,454,0,0,651,655,,,,,,,
,,Avg Days to Complete Wints,11.09090909,0,,,16.57296467,21.03358779,,,,,,,
,,Initial Winterization % Overdue,,,,0,0.965968586,,,,,,,,
,,Grass Cut Count,,,,,,,,,,,,,
,,% Grass Cut Passing,0.690526316,0.681440443,0.670468948,0.705780846,0.705775076,0.772839506,,0.772839506,0.055055484,0.717784022,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Overall Score,,82,
DC,Washington DC,,,,,,,,,,,,,,
DC,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
DC,Initial Services,Initial Services Completed,6,2,7,2,1,8,,2,2,0,,,
DC,,Average Days to Complete Initial Service,5.333333333,3,19.66666667,9,,9.111111111,9.111111111,9.111111111,8.111111111,1,,12,20
DC,,Average Days to BSO Pass,5.333333333,3,12,22,,9.111111111,,9.111111111,8.111111111,1,,,
DC,,% Completed >10 Days,0.133333333,0.2,0.692307692,0,0,0.5,0.5,0.5,0.5,0,,,
DC,,Initial Interior Maintenance % Overdue,0.333333333,0.5,0.8,0,0,0.5,,0.5,0.5,0,,,
DC,,Initial Exterior Maintenance % Overdue,0,0,0.666666667,0,,0.5,,0.5,-,,,,
DC,,Initial Trash Removal % Overdue,0.333333333,0.5,0.8,0,0,0.5,,0.5,0.5,0,,,
DC,,Initial Interior Maintenance % Overdue,,,0,,0,,,,,,,,
DC,,Initial Exterior Maintenance % Overdue,,,,,0,,,,,,,,
DC,,Initial Trash Removal % Overdue,,,0,,0,,,,,,,,
DC,Initial QC,Initial Services QC Completed,3,4,2,7,1,0,,0,-0.444444444,2,,,
DC,,Initial Safety Rating,1,1,1,0.571428571,1,,,,-,1,,,
DC,,Initial Interior Rating,1,1,1,0.428571429,1,,,,-,0.5,,,
DC,,Initial Exterior Rating,1,1,1,0.428571429,1,,,,-,0.5,,,
DC,,Overall Initial Services QC Score,1,1,1,0.428571429,1,,,,-,0.5,,20,20
DC,BSO,Initial BSO Volume,6,2,1,3,1,1,,1,0.777777778,1,,,
DC,,Initial BSO % Passing,1,1,1,1,1,1,,1,0,1,,20,20
DC,,Overall BSO % Passing,1,1,1,1,1,1,,1,0,1,,10,10
DC,,Number of Reorders,0,0,0,0,0,0,,0,0,0,,,
DC,,Average Days to Complete Reorder,,,,6,,,,,-,,,10,10
DC,,Number of Failed BSO,0,0,0,0,0,0,,0,0,0,,,
DC,,% BSO Failed Interior,0,0,0,0,0,0,,0,,0,,,
DC,,% BSO Failed Exterior,0,0,0,0,0,0,,0,,0,,,
DC,,% BSO Failed Trash Removal,0,0,0,0,0,0,,0,,0,,,
DC,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
DC,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
DC,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
DC,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
DC,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
DC,,Ongoing Interior Maintenance % Overdue,,,,,,,,,,,,,
DC,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,,,,,
DC,Ongoing QC,Ongoing Services QC Completed,10,8,4,7,18,3,,3,-1.666666667,21,,,
DC,,Ongoing Services Safety Rating,0.9,0.875,1,1,1,1,,,-,,,,
DC,,Ongoing Services Interior Rating,1,1,1,1,0.888888889,0.666666667,,,-,,,,
DC,,Ongoing Services Exterior Rating,0.9,0.75,1,1,0.833333333,1,,,-,,,,
DC,,Overall Ongoing Services QC Score,1,1,1,1,0.944444444,1,1,,-,,,20,20
DC,Seasonal,Wint Count,0,0,0,0,0,2,,,,,,,
DC,,Avg Days to Complete Wints,,,,,,6.5,,,,,,,
DC,,Initial Winterization % Overdue,,,,,,,,,,,,,
DC,,Grass Cut Count,,,,,,,,,,,,,
DC,,% Grass Cut Passing,0.9,0.875,1,0.714285714,0.944444444,1,,1,0.047619048,0.952380952,,,
DC,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,Overall Score,,92,
DE,Delaware,,,,,,,,,,,,,,
DE,Scorecard Category,Metric,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,,Current 10,10-45 Delta,Current 45,,Earned,Poss.
DE,Initial Services,Initial Services Completed,13,14,16,16,9,8,,8,5.777777778,10,,,
DE,,Average Days to Complete Initial Service,8.538461538,11.69230769,11.92857143,11.35714286,4.75,7.1875,7.1875,7.1875,-0.271959459,7.459459459,,16,20
DE,,Average Days to BSO Pass,15.4,8.5,11.69230769,11.4,4.75,9.882352941,,7.1875,-0.271959459,7.459459459,,,
DE,,% Completed >10 Days,0.2,0.290322581,0.37037037,0.435897436,0.151515152,0.125,0.125,0.125,-0.010135135,0.135135135,,,
DE,,Initial Interior Maintenance % Overdue,0.363636364,0.444444444,0.368421053,0.642857143,0.230769231,0.25,,0.25,0.035714286,0.214285714,,,
DE,,Initial Exterior Maintenance % Overdue,0.307692308,0.307692308,0.571428571,0.357142857,0,0.125,,0.125,0.125,0,,,
DE,,Initial Trash Removal % Overdue,0.363636364,0.333333333,0.523809524,0.545454545,0.166666667,0.25,,0.25,0.096153846,0.153846154,,,
DE,,Initial Interior Maintenance % Overdue,0.25,0.1,0.363636364,0.25,0.5,0,0,,,,,,
DE,,Initial Exterior Maintenance % Overdue,0.25,0.6,0.2,,0,0,0,,,,,,
DE,,Initial Trash Removal % Overdue,0,0.125,0.285714286,0,0.5,0,0,,,,,,
DE,Initial QC,Initial Services QC Completed,7,6,15,18,8,7,,7,3.222222222,17,,,
DE,,Initial Safety Rating,0.571428571,1,0.933333333,0.833333333,1,1,,1,0,1,,,
DE,,Initial Interior Rating,1,1,1,0.944444444,0.875,1,,1,0.058823529,0.941176471,,,
DE,,Initial Exterior Rating,0.714285714,1,0.733333333,0.888888889,0.625,0.857142857,,0.857142857,0.092436975,0.764705882,,,
DE,,Overall Initial Services QC Score,1,1,0.933333333,0.888888889,0.75,1,1,1,0.117647059,0.882352941,,20,20
DE,BSO,Initial BSO Volume,11,9,14,15,13,5,,5,2.111111111,13,,,
DE,,Initial BSO % Passing,0.636363636,1,1,0.8,0.923076923,1,,1,0.076923077,0.923076923,,20,20
DE,,Overall BSO % Passing,0.714285714,1,1,0.833333333,0.928571429,1,,1,0.066666667,0.933333333,,10,10
DE,,Number of Reorders,3,0,1,3,1,0,,0,-0.444444444,2,,,
DE,,Average Days to Complete Reorder,9,,,11,,,,,-,,,10,10
DE,,Number of Failed BSO,4,0,0,3,1,0,,0,-0.222222222,1,,,
